loop,domain,checks,result,detail
359,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
360,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
361,d1_release_cleaner,8,PASS,
362,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
363,d3_form_accessibility,1,PASS,Betrag 36
364,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
365,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
366,d6_theme_contrast,19,PASS,mitternacht_violett.json: 
367,d7_icon_targets,1,PASS,views/main_window_onedrive.py: 
368,d8_scaling,1,PASS,views/main_window_onedrive.py: setFixedSize auf Dialog
369,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
370,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
371,d1_release_cleaner,8,PASS,
372,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
373,d3_form_accessibility,1,PASS,Betrag 37
374,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
375,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
376,d6_theme_contrast,19,PASS,modern_cyan_v2.json: 
377,d7_icon_targets,1,PASS,views/main_window_settings.py: 
378,d8_scaling,1,PASS,views/main_window_settings.py: setFixedSize auf Dialog
379,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
380,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
381,d1_release_cleaner,8,PASS,
382,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
383,d3_form_accessibility,1,PASS,Betrag 38
384,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
385,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
386,d6_theme_contrast,19,PASS,monokai_dunkel.json: 
387,d7_icon_targets,1,PASS,views/main_window_update.py: 
388,d8_scaling,1,PASS,views/main_window_update.py: setFixedSize auf Dialog
389,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
390,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
391,d1_release_cleaner,8,PASS,
392,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
393,d3_form_accessibility,1,PASS,Betrag 39
394,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
395,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
396,d6_theme_contrast,19,PASS,nord_dunkel.json: 
397,d7_icon_targets,1,PASS,views/month_close_dialog.py: 
398,d8_scaling,1,PASS,views/month_close_dialog.py: setFixedSize auf Dialog
399,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
400,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
401,d1_release_cleaner,8,PASS,
402,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
403,d3_form_accessibility,1,PASS,Betrag 40
404,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
405,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
406,d6_theme_contrast,19,PASS,ocean_dunkel.json: 
407,d7_icon_targets,1,PASS,views/quick_add_dialog.py: 
408,d8_scaling,1,PASS,views/quick_add_dialog.py: setFixedSize auf Dialog
409,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
410,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
411,d1_release_cleaner,8,PASS,
412,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
413,d3_form_accessibility,1,PASS,Betrag 41
414,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
415,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
416,d6_theme_contrast,19,PASS,pastell_sanft.json: 
417,d7_icon_targets,1,PASS,views/reauth.py: 
418,d8_scaling,1,PASS,views/reauth.py: setFixedSize auf Dialog
419,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
420,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
421,d1_release_cleaner,8,PASS,
422,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
423,d3_form_accessibility,1,PASS,Betrag 42
424,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
425,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
426,d6_theme_contrast,19,PASS,solarized_dunkel.json: 
427,d7_icon_targets,1,PASS,views/recurring_bookings_dialog.py: 
428,d8_scaling,1,PASS,views/recurring_bookings_dialog.py: setFixedSize auf Dialog
429,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
430,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
431,d1_release_cleaner,8,PASS,
432,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
433,d3_form_accessibility,1,PASS,Betrag 43
434,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
435,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
436,d6_theme_contrast,19,PASS,solarized_hell.json: 
437,d7_icon_targets,1,PASS,views/restore_key_dialog.py: 
438,d8_scaling,1,PASS,views/restore_key_dialog.py: setFixedSize auf Dialog
439,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
440,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
441,d1_release_cleaner,8,PASS,
442,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
443,d3_form_accessibility,1,PASS,Betrag 44
444,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
445,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
446,d6_theme_contrast,19,PASS,standard_dunkel.json: 
447,d7_icon_targets,1,PASS,views/savings_goal_messages.py: 
448,d8_scaling,1,PASS,views/savings_goal_messages.py: setFixedSize auf Dialog
449,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
450,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
451,d1_release_cleaner,8,PASS,
452,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
453,d3_form_accessibility,1,PASS,Betrag 45
454,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
455,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
456,d6_theme_contrast,19,PASS,standard_hell.json: 
457,d7_icon_targets,1,PASS,views/savings_goals_dialog.py: 
458,d8_scaling,1,PASS,views/savings_goals_dialog.py: setFixedSize auf Dialog
459,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
460,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
461,d1_release_cleaner,8,PASS,
462,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
463,d3_form_accessibility,1,PASS,Betrag 46
464,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
465,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
466,d6_theme_contrast,19,PASS,v2_dunkel_graphite_cyan.json: 
467,d7_icon_targets,1,PASS,views/setup_assistant_dialog.py: 
468,d8_scaling,1,PASS,views/setup_assistant_dialog.py: setFixedSize auf Dialog
469,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
470,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
471,d1_release_cleaner,8,PASS,
472,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
473,d3_form_accessibility,1,PASS,Betrag 47
474,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
475,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
476,d6_theme_contrast,19,PASS,v2_dunkel_purple_night.json: 
477,d7_icon_targets,1,PASS,views/shortcuts_dialog.py: 
478,d8_scaling,1,PASS,views/shortcuts_dialog.py: setFixedSize auf Dialog
479,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
480,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
481,d1_release_cleaner,8,PASS,
482,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
483,d3_form_accessibility,1,PASS,Betrag 48
484,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
485,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
486,d6_theme_contrast,19,PASS,v2_hell_neon_cyan.json: 
487,d7_icon_targets,1,PASS,views/special_income_dialog.py: 
488,d8_scaling,1,PASS,views/special_income_dialog.py: setFixedSize auf Dialog
489,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
490,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
491,d1_release_cleaner,8,PASS,
492,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
493,d3_form_accessibility,1,PASS,Betrag 49
494,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
495,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
496,d6_theme_contrast,19,PASS,v2_hell_pastel_mint.json: 
497,d7_icon_targets,1,PASS,views/startup_splash.py: 
498,d8_scaling,1,PASS,views/startup_splash.py: setFixedSize auf Dialog
499,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
500,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
501,d1_release_cleaner,8,PASS,
502,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
503,d3_form_accessibility,1,PASS,Betrag 50
504,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
505,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
506,d6_theme_contrast,19,PASS,v2_hell_warm_sand.json: 
507,d7_icon_targets,1,PASS,views/startup_wizard.py: 
508,d8_scaling,1,PASS,views/startup_wizard.py: setFixedSize auf Dialog
509,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
510,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
511,d1_release_cleaner,8,PASS,
512,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
513,d3_form_accessibility,1,PASS,Betrag 51
514,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
515,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
516,d6_theme_contrast,19,PASS,warm_hell.json: 
517,d7_icon_targets,1,PASS,views/tabs/budget_tab.py: 
518,d8_scaling,1,PASS,views/tabs/budget_tab.py: setFixedSize auf Dialog
519,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
520,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
521,d1_release_cleaner,8,PASS,
522,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
523,d3_form_accessibility,1,PASS,Betrag 52
524,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
525,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
526,d6_theme_contrast,19,PASS,dracula_dunkel.json: 
527,d7_icon_targets,1,PASS,views/tabs/categories_tab.py: 
528,d8_scaling,1,PASS,views/tabs/categories_tab.py: setFixedSize auf Dialog
529,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
530,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
531,d1_release_cleaner,8,PASS,
532,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
533,d3_form_accessibility,1,PASS,Betrag 53
534,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
535,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
536,d6_theme_contrast,19,PASS,dunkel_blau.json: 
537,d7_icon_targets,1,PASS,views/tabs/cockpit_tab.py: 
538,d8_scaling,1,PASS,views/tabs/cockpit_tab.py: setFixedSize auf Dialog
539,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
540,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
541,d1_release_cleaner,8,PASS,
542,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
543,d3_form_accessibility,1,PASS,Betrag 54
544,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
545,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
546,d6_theme_contrast,19,PASS,dunkel_gruen.json: 
547,d7_icon_targets,1,PASS,views/tabs/overview_budget_panel.py: 
548,d8_scaling,1,PASS,views/tabs/overview_budget_panel.py: setFixedSize auf Dialog
549,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
550,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
551,d1_release_cleaner,8,PASS,
552,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
553,d3_form_accessibility,1,PASS,Betrag 55
554,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
555,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
556,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
557,d7_icon_targets,1,PASS,views/tabs/overview_kpi_panel.py: 
558,d8_scaling,1,PASS,views/tabs/overview_kpi_panel.py: setFixedSize auf Dialog
559,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
560,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
561,d1_release_cleaner,8,PASS,
562,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
563,d3_form_accessibility,1,PASS,Betrag 56
564,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
565,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
566,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
567,d7_icon_targets,1,PASS,views/tabs/overview_right_panel.py: 
568,d8_scaling,1,PASS,views/tabs/overview_right_panel.py: setFixedSize auf Dialog
569,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
570,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
571,d1_release_cleaner,8,PASS,
572,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
573,d3_form_accessibility,1,PASS,Betrag 57
574,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
575,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
576,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
577,d7_icon_targets,1,PASS,views/tabs/overview_savings_panel.py: 
578,d8_scaling,1,PASS,views/tabs/overview_savings_panel.py: setFixedSize auf Dialog
579,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
580,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
581,d1_release_cleaner,8,PASS,
582,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
583,d3_form_accessibility,1,PASS,Betrag 58
584,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
585,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
586,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
587,d7_icon_targets,1,PASS,views/tabs/overview_tab.py: 
588,d8_scaling,1,PASS,views/tabs/overview_tab.py: setFixedSize auf Dialog
589,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
590,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
591,d1_release_cleaner,8,PASS,
592,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
593,d3_form_accessibility,1,PASS,Betrag 59
594,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
595,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
596,d6_theme_contrast,19,PASS,hell_gruen.json: 
597,d7_icon_targets,1,PASS,views/tabs/overview_widgets.py: 
598,d8_scaling,1,PASS,views/tabs/overview_widgets.py: setFixedSize auf Dialog
599,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
600,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
601,d1_release_cleaner,8,PASS,
602,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
603,d3_form_accessibility,1,PASS,Betrag 60
604,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
605,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
606,d6_theme_contrast,19,PASS,hell_warm_sepia.json: 
607,d7_icon_targets,1,PASS,views/tabs/tracking_tab.py: 
608,d8_scaling,1,PASS,views/tabs/tracking_tab.py: setFixedSize auf Dialog
609,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
610,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
611,d1_release_cleaner,8,PASS,
612,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
613,d3_form_accessibility,1,PASS,Betrag 61
614,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
615,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
616,d6_theme_contrast,19,PASS,kontrast_schwarzweiss.json: 
617,d7_icon_targets,1,PASS,views/tags_manager_dialog.py: 
618,d8_scaling,1,PASS,views/tags_manager_dialog.py: setFixedSize auf Dialog
619,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
620,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
621,d1_release_cleaner,8,PASS,
622,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
623,d3_form_accessibility,1,PASS,Betrag 62
624,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
625,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
626,d6_theme_contrast,19,PASS,mitternacht_violett.json: 
627,d7_icon_targets,1,PASS,views/theme_editor_dialog.py: 
628,d8_scaling,1,PASS,views/theme_editor_dialog.py: setFixedSize auf Dialog
629,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
630,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
631,d1_release_cleaner,8,PASS,
632,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
633,d3_form_accessibility,1,PASS,Betrag 63
634,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
635,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
636,d6_theme_contrast,19,PASS,modern_cyan_v2.json: 
637,d7_icon_targets,1,PASS,views/type_color_helper.py: 
638,d8_scaling,1,PASS,views/type_color_helper.py: setFixedSize auf Dialog
639,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
640,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
641,d1_release_cleaner,8,PASS,
642,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
643,d3_form_accessibility,1,PASS,Betrag 64
644,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
645,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
646,d6_theme_contrast,19,PASS,monokai_dunkel.json: 
647,d7_icon_targets,1,PASS,views/ui_colors.py: 
648,d8_scaling,1,PASS,views/ui_colors.py: setFixedSize auf Dialog
649,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
650,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
651,d1_release_cleaner,8,PASS,
652,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
653,d3_form_accessibility,1,PASS,Betrag 65
654,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
655,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
656,d6_theme_contrast,19,PASS,nord_dunkel.json: 
657,d7_icon_targets,1,PASS,views/ui_experience_menu.py: 
658,d8_scaling,1,PASS,views/ui_experience_menu.py: setFixedSize auf Dialog
659,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
660,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
661,d1_release_cleaner,8,PASS,
662,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
663,d3_form_accessibility,1,PASS,Betrag 66
664,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
665,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
666,d6_theme_contrast,19,PASS,ocean_dunkel.json: 
667,d7_icon_targets,1,PASS,views/update_dialog.py: 
668,d8_scaling,1,PASS,views/update_dialog.py: setFixedSize auf Dialog
669,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
670,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
671,d1_release_cleaner,8,PASS,
672,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
673,d3_form_accessibility,1,PASS,Betrag 67
674,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
675,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
676,d6_theme_contrast,19,PASS,pastell_sanft.json: 
677,d7_icon_targets,1,PASS,views/account_data_hub.py: 
678,d8_scaling,1,PASS,views/account_data_hub.py: setFixedSize auf Dialog
679,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
680,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
681,d1_release_cleaner,8,PASS,
682,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
683,d3_form_accessibility,1,PASS,Betrag 68
684,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
685,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
686,d6_theme_contrast,19,PASS,solarized_dunkel.json: 
687,d7_icon_targets,1,PASS,views/account_management_dialog.py: 
688,d8_scaling,1,PASS,views/account_management_dialog.py: setFixedSize auf Dialog
689,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
690,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
691,d1_release_cleaner,8,PASS,
692,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
693,d3_form_accessibility,1,PASS,Betrag 69
694,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
695,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
696,d6_theme_contrast,19,PASS,solarized_hell.json: 
697,d7_icon_targets,1,PASS,views/backup_restore_dialog.py: 
698,d8_scaling,1,PASS,views/backup_restore_dialog.py: setFixedSize auf Dialog
699,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
700,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
701,d1_release_cleaner,8,PASS,
702,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
703,d3_form_accessibility,1,PASS,Betrag 70
704,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
705,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
706,d6_theme_contrast,19,PASS,standard_dunkel.json: 
707,d7_icon_targets,1,PASS,views/bank_import_analysis_worker.py: 
708,d8_scaling,1,PASS,views/bank_import_analysis_worker.py: setFixedSize auf Dialog
709,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 99 Sicherheits-/Fehlerdialoge bewusst modal"
710,d10_keyboard_navigation,2,PASS,15/15 komplexe Dialogdateien mit expliziter Tab-Kette
711,d1_release_cleaner,8,PASS,
712,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
713,d3_form_accessibility,1,PASS,Betrag 71
714,d4_destructive_metadata,2,PASS,Icon-only-Löschaktion blieb Enter-Default
